0,Test Test,2248 Geoffrey Blvd,Vernal,TN,81204,3,1,70000.0,-1,70.0,23-4567-89,1234-567,12-29-1999,221-21-2233,(801)616-2574,matt.ackerman@gmail.com,3/18/2022,04/01/2022,Water Boy,R&D,admin,0
502141,Brock Sandoval,4882 Consectetuer Street,Wyoming,WY,15840,2,1,58436.75,-1,-1,13977869-3,906688-1963,9/7/1989,990-24-9441,(307)754-6970,bsandoval@timely.com,6/6/2011,,Manager,Sales,admin,V6ygCWaaD
377013,Teagan Goodwin,P.O. Box 317,Akron,OH,66603,3,2,69765.24,-1,13.0,-1,-1,1/1/2001,959-74-6252,(216)105-1122,goodwinteagan@gmail.com,11/27/2013,,Essential Worker,Production,admin,LsYct8gyK
983011,Matt Ackerman,2248 Geoffrey Blvd,Vernal,TN,81204,3,1,70000.0,-1,70.0,23-4567-89,1234-567,12-29-1999,221-21-2233,(801)616-2574,matt.ackerman@gmail.com,3/18/2022,04/01/2022,Water Boy,R&D,admin,m4tt
688997,Karina Gay,998 Vitae St.,Atlanta,GA,45169,1,1,-1,46.92,-1,30417353-K,465794-3611,2/23/1984,330-74-2591,(404)460-1161,kaygay@gmail.com,3/18/2010,,Manager,Marketing,employee,t3st!ng*
522759,TaShya D. Snow,2624 Hendrerit St.,College,AK,99789,2,2,50005.5,-1,-1,-1,-1,7/12/2000,196-15-1638,(907)396-8304,TSyhaD@gmail.com,8/8/2009,,Manager,Production,employee,r4nd0mn355
983010,Jolene Burgess,P.O. Box 873,South Burlington,VT,32036,2,2,20042.77,-1,-1,-1,-1,2/28/1997,641-23-2663,(802)282-1107,Jburg@outlook.com,7/9/2018,,Personnel,HR,employee,P936J?=rX
939825,Yoko M. Pitts,4825 Nec Ave,Meridian,ID,45614,1,1,-1,46.64,-1,123-123-123,1234-567,4/17/1964,912-86-1176,(208)228-6629,YokoP@gmail.com,7/14/2013,,Accountant,Finance,employee,EaQ^mej6`
379767,Jin W. Morrison,8628 Id St.,Milwaukee,WI,80356,3,1,64467.1,-1,33.0,21038669-6,654904-8491,2/14/1964,993-56-6939,(534)228-6629,JinMorrison@yahoo.com,2/15/2017,,Essential Worker,Production,employee,42vYvRynG
283809,Hanae Dickson,1633 Dolor Av.,Dover,DE,61813,1,2,-1,91.22,-1,-1,-1,1/9/1999,488-84-9564,(302)400-6136,hanae159@gmail.com,12/1/2013,,Personnel,HR,employee,55FKLzkwX
224568,Jenna B. Strickland,70156 Rutrum Street,Phoenix,AZ,86207,1,1,-1,24.7,-1,33878326-4,248847-6397,1/29/1997,814-73-6515,(602)479-1370,jstrickland@yahoo.com,2/1/2011,8/20/2016,Researcher,R&D,employee,79yhsNEWR
